uniqueID,Date,Voter File Match,Registered Voter (of Voter File Matches),weight,Q1. Health Quality,age,DEMOGRAPHICS - GENDER,Q4. Number of People in HH,Q5. Children in HH,Q6. Non-HH Face to Face Count,Q7. Six Feet Away? (If Q6 > 0),Q8. HH Member Going to Work,Q9. Children Interacting with Other Children ,Q10. Times in Group > 20 in Last Week,Family,Friends,Co-workers,"Clients, patients, or patrons",Any other type of person not already mentioned,Q12. Handwashing Count,Q13. Currently Practicing Social Distancing?,Q14. Currently Experiencing Symptoms?,Q15. Likelihood of getting Coronavirus,Q16. NC Response to Coronavirus,Q17. Changes to Routine ,Q18. College Degree,Q19. Latino,Q20. Race,Q21. Panel Willingness,Q19-20. Race + Ethnicity,Survey Mode,DEMOGRAPHICS - RACE ON FILE,MEDIA MARKET,PARTY,TURNOUT,DEMOGRAPHICS - PARTY ON FILE,tax_score,CHOICE,CHURCH ATTENDANCE,CLIMATE CHANGE PRIORITY,COLLEGE,GUN CONTROL,GUN OWNER,PROGRESSIVE GUN OWNER,tv_cable,tv_satellite,tv_broadcast,cellphone_score,commercial_party,MARIJUANA,low_tv,trump_approve_score,retired_score,county_name,Completed Survey,week
892,2020-03-31,Yes,Yes,1.24232,Good,19,Male,4.0,One,0.0,,No,No,0.0,Yes,No,No,No,No,5.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,White,No,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,,,3.0,,1.0,,,,,,,,,,1.0,2.0,1.0,ORANGE,True,week1
893,2020-03-31,Yes,Yes,0.42698500000000006,Very Good,56,Female,4.0,One,6.0,6.0,Yes,No,4.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,2.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,ALEXANDER,True,week1
894,2020-03-31,No,,0.948923,Good,88,Female,1.0,None,5.0,3.0,No,,,,Yes,,,,5.0,Yes,No,No,Most are reacting appropriately,Small changes,Yes,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
895,2020-03-31,Yes,Yes,0.37561500000000003,Poor,60,Female,2.0,None,9.0,1.0,Unsure,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Republican,2.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,SAMPSON,True,week1
896,2020-03-31,No,,0.803175,Good,77,Female,3.0,None,0.0,,No,,0.0,Yes,No,No,No,No,8.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,Yes,No,White,0,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
897,2020-03-31,Yes,Yes,3.40982,Good,39,Female,,,,,,0,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,550.0,2.0,5.0,Other / Unaffiliated,,,3.0,,3.0,,,,,,,,,,2.0,3.0,1.0,BRUNSWICK,False,week1
898,2020-03-31,Yes,Yes,0.316205,Very Good,75,Male,2.0,None,1.0,1.0,No,,0.0,No,No,No,No,No,5.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,517.0,5.0,5.0,Democrat,5.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,1.0,4.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,IREDELL,True,week1
899,2020-03-31,Yes,Yes,0.37561500000000003,Very Good,59,Female,2.0,None,4.0,2.0,Yes,,0.0,Yes,No,Yes,Yes,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,5.0,4.0,Democrat,3.0,2.0,4.0,2.0,4.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,HALIFAX,True,week1
900,2020-03-31,Yes,Yes,1.05673,Good,53,Female,2.0,None,1.0,1.0,No,,0.0,Yes,Yes,No,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,No,White,IVR,Caucasian,560.0,3.0,5.0,Other / Unaffiliated,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,1.0,WAKE,True,week1
901,2020-03-31,No,,0.285709,Very Good,66,Female,3.0,None,1.0,1.0,Yes,,0.0,Yes,,,,,4.0,Yes,No,No,Most are reacting appropriately,Small changes,No,No,Black,Yes,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
902,2020-03-31,No,,1.3666,Fair,51,Female,4.0,None,9.0,0.0,Yes,,0.0,Yes,Yes,Yes,No,No,6.0,Yes,No,3,Most are underestimating the risks,Large changes,Yes,No,Black,Yes,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
903,2020-03-31,Yes,Yes,0.251141,Good,67,Female,2.0,None,2.0,2.0,No,,1.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Republican,2.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,NASH,True,week1
904,2020-03-31,Yes,Yes,1.57194,Very Good,57,Male,3.0,One,4.0,4.0,No,Yes,0.0,Yes,Yes,Yes,No,No,6.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,1.0,4.0,Republican,2.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,STOKES,True,week1
905,2020-03-31,Yes,Yes,0.449553,Good,55,Male,4.0,Two,9.0,0.0,Yes,Yes,5.0,Yes,Yes,Yes,No,Yes,9.0,Yes,Unsure,Unsure,Most are overreacting to the actual risks,Small changes,No,No,White,Yes,White,IVR,Caucasian,545.0,1.0,5.0,Republican,2.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,CRAVEN,True,week1
906,2020-03-31,Yes,Yes,1.57194,Good,51,Male,5.0,Two,,,,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,518.0,1.0,5.0,Republican,2.0,1.0,4.0,1.0,5.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,FORSYTH,False,week1
907,2020-03-31,Yes,Yes,0.5587449999999999,Very Good,47,Male,3.0,One,2.0,2.0,Yes,,0.0,Yes,No,No,No,Yes,9.0,Yes,No,No,Most are overreacting to the actual risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Other / Unaffiliated,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,ALAMANCE,True,week1
908,2020-03-31,Yes,Yes,0.308732,Fair,67,Female,,None,1.0,0.0,No,,,,Yes,,,,5.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,Black,Yes,Black,IVR,Black,545.0,5.0,5.0,Democrat,3.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,3.0,CRAVEN,True,week1
909,2020-03-31,Yes,Yes,1.57194,Poor,58,Male,2.0,None,9.0,5.0,Yes,,0.0,Yes,No,Yes,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,WILKES,True,week1
910,2020-03-31,Yes,Yes,1.14188,Good,59,Female,2.0,None,9.0,5.0,Yes,,1.0,No,No,Yes,Yes,Yes,5.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,570.0,5.0,5.0,Democrat,3.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,2.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,ROBESON,True,week1
911,2020-03-31,No,,0.845627,Good,84,Male,1.0,None,0.0,,No,,0.0,No,No,Yes,No,Yes,6.0,Yes,No,No,Most are underestimating the risks,No real changes,Yes,No,White,0,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
912,2020-03-31,No,,0.37561500000000003,Very Good,50,Female,4.0,None,2.0,2.0,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
913,2020-03-31,Yes,Yes,0.5587449999999999,Good,56,Male,1.0,None,0.0,,No,,0.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,White,No,White,IVR,Caucasian,518.0,5.0,5.0,Democrat,,3.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,,,,,4.0,1.0,2.0,1.0,DAVIDSON,True,week1
914,2020-03-31,No,,0.337294,Fair,86,Female,2.0,None,0.0,,No,,1.0,Yes,No,No,No,No,2.0,Yes,No,Unsure,Most are underestimating the risks,Unsure,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
915,2020-03-31,No,,0.285488,Poor,99,Female,,Three or more,9.0,9.0,Yes,Yes,9.0,5,5,Yes,Yes,Yes,5.0,No,Yes,Yes,Most are underestimating the risks,Small changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
916,2020-03-31,Yes,Yes,1.05673,Very Good,48,Female,2.0,None,1.0,1.0,No,,2.0,Yes,No,No,No,No,4.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,4.0,5.0,Democrat,3.0,4.0,2.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,CUMBERLAND,True,week1
917,2020-03-31,Yes,Yes,0.504467,Very Good,56,Female,2.0,None,3.0,2.0,Yes,,0.0,Yes,Yes,,,Yes,7.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,No,White,IVR,Caucasian,518.0,1.0,5.0,Other / Unaffiliated,3.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,4.0,1.0,GUILFORD,True,week1
918,2020-03-31,Yes,Yes,0.42731499999999994,Very Good,50,Female,2.0,None,2.0,2.0,No,,1.0,No,No,Yes,No,No,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,Another race,Yes,Another race,IVR,Caucasian,560.0,1.0,5.0,Republican,2.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,CUMBERLAND,True,week1
919,2020-03-31,Yes,No,0.251141,Fair,75,Female,3.0,None,1.0,1.0,No,,1.0,Yes,No,,,,,,,,,,,,,0,White,IVR,Caucasian,560.0,4.0,,Other / Unaffiliated,,,3.0,,1.0,,,,,,,,,,1.0,3.0,4.0,,False,week1
920,2020-03-31,Yes,Yes,0.782567,Very Good,73,Male,2.0,None,0.0,,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,5.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,ORANGE,True,week1
921,2020-03-31,No,,0.278163,Good,77,Male,2.0,None,9.0,9.0,No,,0.0,Yes,No,No,No,No,6.0,Yes,No,No,Most are underestimating the risks,Small changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
922,2020-03-31,Yes,Yes,1.1704299999999999,Good,47,Male,4.0,One,2.0,1.0,Yes,No,0.0,Yes,No,No,No,No,6.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,5.0,5.0,Other / Unaffiliated,3.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,4.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,MOORE,True,week1
923,2020-03-31,Yes,Yes,1.05673,Very Good,57,Female,,,,,,0,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,560.0,5.0,5.0,Democrat,3.0,5.0,2.0,4.0,4.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,DURHAM,False,week1
924,2020-03-31,Yes,Yes,1.3666,Good,50,Female,2.0,None,3.0,1.0,Yes,,0.0,No,No,No,No,No,3.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,Black,Yes,Black,IVR,Black,517.0,5.0,5.0,Democrat,3.0,4.0,4.0,3.0,4.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,MECKLENBURG,True,week1
925,2020-03-31,Yes,Yes,1.05673,Very Good,51,Female,4.0,Two,1.0,1.0,Yes,No,0.0,No,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Republican,2.0,3.0,4.0,1.0,5.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,JOHNSTON,True,week1
926,2020-03-31,Yes,Yes,1.14188,Good,55,Female,3.0,None,0.0,,Yes,,0.0,Yes,No,No,No,,8.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,Yes,No,White,Yes,White,IVR,Caucasian,545.0,1.0,5.0,Other / Unaffiliated,2.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,ONSLOW,True,week1
927,2020-03-31,Yes,Yes,1.6684900000000003,Very Good,31,Male,4.0,Two,9.0,,,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,518.0,1.0,5.0,Republican,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,YADKIN,False,week1
928,2020-03-31,Yes,Yes,0.472926,Very Good,58,Male,4.0,None,9.0,9.0,Yes,,0.0,Yes,Yes,Yes,,,,,,,,,,,,0,White,IVR,Caucasian,517.0,1.0,5.0,Republican,2.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,CATAWBA,False,week1
929,2020-03-31,Yes,Yes,0.42731499999999994,Very Good,48,Female,4.0,One,0.0,,Yes,,0.0,Yes,No,No,No,No,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,Black,No,Black,IVR,Black,560.0,4.0,5.0,Other / Unaffiliated,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,CUMBERLAND,True,week1
930,2020-03-31,Yes,Yes,1.57194,Very Good,57,Male,4.0,None,3.0,3.0,Yes,,0.0,Yes,Yes,No,No,No,8.0,Yes,No,No,Most are overreacting to the actual risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Republican,1.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,DAVIE,True,week1
931,2020-03-31,No,,0.373585,Poor,78,Male,5.0,Two,1.0,1.0,Yes,,1.0,Yes,Yes,Yes,Yes,Yes,8.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
932,2020-03-31,Yes,Yes,0.416029,Very Good,57,Male,4.0,None,4.0,4.0,Yes,,0.0,Yes,Yes,Yes,,,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Other / Unaffiliated,3.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,CUMBERLAND,True,week1
933,2020-03-31,No,,0.42731499999999994,Good,59,Female,1.0,None,0.0,,No,,0.0,No,No,No,No,No,1.0,Yes,No,No,Most are reacting appropriately,No real changes,No,No,Black,0,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
934,2020-03-31,Yes,Yes,0.473292,Very Good,57,Male,1.0,None,1.0,,,,,,Yes,,,,9.0,No,No,No,Most are overreacting to the actual risks,Small changes,No,Yes,,Yes,Hispanic or Latino,IVR,Caucasian,560.0,1.0,5.0,Republican,3.0,2.0,2.0,1.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,WAKE,True,week1
935,2020-03-31,Yes,Yes,0.316205,Good,82,Male,1.0,None,1.0,1.0,Yes,,0.0,Yes,Yes,,No,Yes,9.0,Yes,Unsure,No,Most are underestimating the risks,Large changes,No,No,White,No,White,IVR,Caucasian,517.0,4.0,5.0,Democrat,3.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,CLEVELAND,True,week1
936,2020-03-31,No,,1.14188,Good,63,Female,2.0,None,7.0,0.0,No,,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are overreacting to the actual risks,No real changes,Yes,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
937,2020-03-31,No,,3.49506,Very Good,25,Male,8.0,None,4.0,4.0,No,,0.0,No,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,No,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
938,2020-03-31,Yes,Yes,0.42731499999999994,Very Good,52,Female,3.0,One,4.0,4.0,No,Yes,,,,,,,9.0,Yes,No,Yes,Most are reacting appropriately,Small changes,No,No,Black,Yes,Black,IVR,Black,560.0,5.0,5.0,Democrat,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,HALIFAX,True,week1
939,2020-03-31,Yes,Yes,0.46174899999999997,Fair,46,Female,2.0,None,8.0,8.0,No,,2.0,Yes,Yes,Yes,Yes,No,,,,,,,,,,0,Black,IVR,Black,567.0,5.0,5.0,Democrat,3.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,RUTHERFORD,False,week1
940,2020-03-31,No,,0.285709,Fair,78,Female,2.0,None,1.0,1.0,No,,,,,,,,5.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,Black,No,Black,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
941,2020-03-31,Yes,Yes,0.472926,Good,48,Male,1.0,,,,,0,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,517.0,2.0,3.0,Other / Unaffiliated,3.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,3.0,4.0,2.0,4.0,1.0,GASTON,False,week1
942,2020-03-31,Yes,Yes,1.57194,Very Good,52,Male,5.0,Two,4.0,3.0,Yes,No,0.0,Yes,No,No,No,Yes,6.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Republican,3.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,DAVIDSON,True,week1
943,2020-03-31,Yes,Yes,1.24232,Very Good,42,Male,3.0,One,9.0,9.0,No,,9.0,No,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,No,No,White,Yes,White,IVR,Caucasian,560.0,1.0,4.0,Republican,2.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,WAYNE,True,week1
944,2020-03-31,Yes,Yes,1.20218,Fair,56,Female,,None,,,,,,,,,,,,,,,,,,,,0,Black,IVR,Black,560.0,5.0,5.0,Democrat,5.0,3.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,WAYNE,False,week1
945,2020-03-31,Yes,Yes,4.694030000000001,Good,43,Male,4.0,Two,4.0,0.0,4,No,0.0,Yes,No,Yes,No,No,9.0,Yes,No,Unsure,Most are overreacting to the actual risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,1.0,5.0,Republican,2.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,1.0,MONTGOMERY,True,week1
946,2020-03-31,Yes,Yes,0.449553,Fair,54,Male,3.0,None,6.0,5.0,No,,0.0,5,No,3,,,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,No,White,IVR,Caucasian,545.0,3.0,5.0,Other / Unaffiliated,4.0,2.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,TYRRELL,True,week1
947,2020-03-31,Yes,Yes,0.913725,Fair,67,Female,1.0,None,,,,,,,,,,,,,,,,,,,,0,Black,IVR,Black,517.0,5.0,5.0,Democrat,3.0,4.0,4.0,3.0,3.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,MECKLENBURG,False,week1
948,2020-03-31,Yes,Yes,0.803175,Fair,68,Female,2.0,None,1.0,1.0,No,,1.0,Yes,Yes,9,9,9,9.0,Yes,No,Unsure,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,517.0,5.0,5.0,Democrat,3.0,5.0,2.0,3.0,4.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,MECKLENBURG,True,week1
949,2020-03-31,Yes,Yes,0.42731499999999994,Good,58,Female,4.0,One,3.0,3.0,3,No,4.0,No,Yes,No,Yes,Yes,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,Black,Yes,Black,IVR,Black,560.0,5.0,5.0,Democrat,5.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,HOKE,True,week1
950,2020-03-31,No,,0.251141,Good,78,Female,2.0,None,0.0,,No,,0.0,No,No,No,No,No,6.0,No,No,No,Most are reacting appropriately,No real changes,No,No,White,No,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
951,2020-03-31,Yes,Yes,0.473292,Fair,49,Male,2.0,None,1.0,0.0,Yes,,0.0,Yes,,,,,,,,,,,,,,0,Black,IVR,Black,560.0,5.0,5.0,Democrat,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,DURHAM,False,week1
952,2020-03-31,Yes,Yes,0.316205,Very Good,79,Male,4.0,,,,,0,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,517.0,1.0,5.0,Republican,,3.0,3.0,2.0,1.0,3.0,2.0,,4.0,,,,,2.0,1.0,4.0,5.0,MECKLENBURG,False,week1
953,2020-03-31,Yes,Yes,0.300578,Fair,82,Male,9.0,None,9.0,,,,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,550.0,5.0,5.0,Other / Unaffiliated,3.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,BRUNSWICK,False,week1
954,2020-03-31,No,,0.5587449999999999,Good,53,Male,3.0,Two,1.0,3.0,No,No,1.0,Yes,Yes,Yes,Yes,Yes,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
955,2020-03-31,Yes,Yes,0.5587449999999999,Good,45,Male,5.0,One,9.0,9.0,Yes,No,1.0,Yes,Yes,Yes,Yes,,9.0,Yes,No,Unsure,Most are underestimating the risks,Small changes,No,No,White,Yes,White,IVR,Caucasian,518.0,2.0,4.0,Other / Unaffiliated,,3.0,1.0,2.0,3.0,3.0,2.0,,3.0,,,,,3.0,1.0,3.0,1.0,ALAMANCE,True,week1
956,2020-03-31,Yes,Yes,0.271379,Good,76,Female,,,,,,0,,,,,,,,,,,,,,,,0,White,IVR,Caucasian,545.0,5.0,5.0,Other / Unaffiliated,3.0,3.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,BEAUFORT,False,week1
957,2020-03-31,Yes,Yes,1.57194,Good,52,Male,3.0,One,0.0,,No,No,0.0,Yes,No,No,No,No,9.0,Yes,No,No,Most are underestimating the risks,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,518.0,2.0,5.0,Republican,3.0,4.0,1.0,1.0,5.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,FORSYTH,True,week1
958,2020-03-31,No,,1.05673,Very Good,61,Female,2.0,None,1.0,0.0,No,,2.0,Yes,No,No,No,No,1.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
959,2020-03-31,Yes,Yes,3.1555400000000002,Good,42,Female,7.0,None,0.0,,Yes,,0.0,Yes,9,9,9,9,9.0,Yes,No,Yes,Most are underestimating the risks,Small changes,Yes,No,White,Yes,White,IVR,Caucasian,560.0,1.0,5.0,Republican,,2.0,4.0,1.0,2.0,2.0,2.0,,3.0,,,,,2.0,1.0,5.0,1.0,HARNETT,True,week1
960,2020-03-31,No,,0.300578,Fair,77,Male,2.0,None,0.0,,No,,0.0,Yes,,,,,9.0,Yes,No,No,Most are reacting appropriately,Large changes,No,No,White,Yes,White,IVR,,,,,,,,,,,,,,,,,,,,,,,,True,week1
961,2020-03-31,Yes,Yes,0.405882,Good,58,Female,3.0,None,9.0,9.0,Yes,,1.0,,,,,,,,,,,,,,,0,White,IVR,Caucasian,544.0,5.0,5.0,Democrat,5.0,2.0,5.0,2.0,1.0,2.0,5.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,HERTFORD,False,week1
962,2020-03-31,Yes,Yes,1.20125,Very Good,55,Female,3.0,None,0.0,,No,,0.0,Yes,No,No,No,No,8.0,Yes,No,No,Most are reacting appropriately,Large changes,Yes,No,White,Yes,White,IVR,Caucasian,517.0,2.0,5.0,Other / Unaffiliated,,3.0,4.0,1.0,3.0,3.0,2.0,1.0,5.0,2.0,1.0,,,3.0,4.0,3.0,1.0,MECKLENBURG,True,week1
963,2020-03-31,Yes,Yes,1.71375,Good,43,Female,1.0,None,1.0,1.0,Yes,,0.0,Yes,Yes,Yes,,,9.0,Yes,No,Unsure,Most are reacting appropriately,Large changes,No,No,Black,Yes,Black,IVR,Black,518.0,5.0,5.0,Democrat,3.0,4.0,3.0,3.0,2.0,5.0,2.0,2.0,4.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,FORSYTH,True,week1
